t_wall_ns,seq,t_sensor_ns,latency_ms,status,bytes_out,ok
1779109586971320176,427,1779109586949774658,39.391,200,257022,1
1779109587438632313,430,1779109587450994873,36.112,200,257475,1
1779109587772282301,432,1779109587785287598,40.265,200,261672,1
1779109588265492715,435,1779109588286754150,37.029,200,249116,1
1779109588602151958,437,1779109588620806641,37.103,200,221728,1
1779109589085257479,440,1779109589121881836,37.102,200,215481,1
1779109589436892734,442,1779109589455946289,39.166,200,200961,1
1779109589913523461,445,1779109589957062988,31.983,200,188318,1
1779109590284418214,447,1779109590291140869,33.463,200,175456,1
1779109590756352752,450,1779109590792826904,35.611,200,179814,1
1779109591108010662,452,1779109591127314209,36.238,200,179052,1
1779109591588844081,455,1779109591628622559,30.922,200,163153,1
1779109591925463712,457,1779109591962679932,32.637,200,155549,1
1779109592434099093,460,1779109592463750977,32.766,200,154284,1
1779109592769693464,462,1779109592797775635,32.596,200,147647,1
1779109593108151919,464,1779109593131795898,32.330,200,150959,1
1779109593598949828,467,1779109593632844238,31.505,200,139043,1
1779109593937677701,469,1779109593966880127,33.898,200,140267,1
1779109594274001836,471,1779109594300911865,33.195,200,168362,1
1779109594619451522,473,1779109594634916992,28.936,200,185233,1
1779109595294165606,475,1779109595302910156,35.337,200,201935,1
1779109595790330976,478,1779109595804044922,31.172,200,227465,1
1779109596139414122,480,1779109596138133301,38.364,200,232311,1
1779109596625078374,483,1779109596639172363,27.248,200,235795,1
1779109597117978862,486,1779109597140153320,38.798,200,232849,1
1779109597490874537,488,1779109597474169678,37.739,200,222962,1
1779109597953205805,491,1779109597975242188,37.124,200,221561,1
1779109598454810725,492,1779109598476286377,38.158,200,213528,1
1779109598943069964,495,1779109598977272217,37.641,200,210303,1
1779109599286069132,497,1779109599311255127,36.502,200,207164,1
1779109599791278299,498,1779109599812245361,36.243,200,212354,1
1779109600464821343,500,1779109600480224609,39.146,200,205945,1
1779109600962275726,503,1779109600981223389,36.356,200,189514,1
1779109601460645522,506,1779109601482212646,34.009,200,177009,1
1779109601957802618,509,1779109601983190918,33.135,200,153498,1
1779109602453922295,512,1779109602484168213,35.060,200,164142,1
1779109602956073507,515,1779109602985158936,34.419,200,166597,1
1779109603297262360,517,1779109603319145020,39.427,200,165778,1
1779109603778021482,520,1779109603820303223,35.106,200,175064,1
1779109604131740821,522,1779109604154417236,33.668,200,175879,1
1779109604622697820,525,1779109604655550537,36.832,200,194973,1
1779109604964120478,527,1779109604989622803,24.876,200,205746,1
1779109605300210041,529,1779109605323692871,32.902,200,200011,1
1779109606461935594,531,1779109606492861816,18.932,200,211920,1
1779109606954928937,534,1779109606994244385,37.560,200,216417,1
1779109607312502165,536,1779109607328526123,38.090,200,211632,1
1779109607808616115,539,1779109607829624756,36.462,200,209555,1
1779109608333516424,540,1779109608330722656,40.750,200,210901,1
1779109608808724900,541,1779109608831836914,36.692,200,206250,1
1779109609143515306,543,1779109609165914063,36.261,200,202362,1
1779109609646718526,546,1779109609667025635,37.342,200,201777,1
1779109610134682973,549,1779109610168136963,18.243,200,197794,1
1779109610481941853,551,1779109610502393066,34.579,200,197714,1
1779109610816069657,553,1779109610836659180,34.234,200,178765,1
1779109611644284506,556,1779109611672052734,26.379,200,142772,1
1779109611979581526,558,1779109612006130615,34.675,200,159119,1
1779109612317860667,560,1779109612340209229,33.126,200,151296,1
1779109612809524904,563,1779109612841260254,30.411,200,106471,1
1779109613303936499,566,1779109613342303711,30.308,200,135982,1
1779109613674599718,568,1779109613676428955,32.323,200,133171,1
1779109614134976203,571,1779109614177623047,32.425,200,133549,1
1779109614471939069,573,1779109614511710449,30.200,200,138661,1
1779109614814670642,575,1779109614845750488,33.972,200,174718,1
1779109615162841927,577,1779109615179788818,19.785,200,200537,1
1779109615648766158,580,1779109615680865234,35.929,200,175660,1
1779109615998437799,582,1779109616014921875,25.944,200,155565,1
1779109616433804060,584,1779109616348976807,41.574,200,181851,1
1779109616830006931,587,1779109616850018555,37.419,200,217649,1
1779109617327476096,590,1779109617351052979,40.200,200,218647,1
1779109617852935143,593,1779109617853367188,37.479,200,231716,1
1779109618336579018,596,1779109618355784668,19.678,200,237320,1
1779109618708562961,598,1779109618689739746,30.184,200,233893,1
1779109619176234842,601,1779109619190653076,37.951,200,229217,1
1779109619655228157,604,1779109619691579834,36.076,200,222538,1
1779109620006838934,606,1779109620025528076,19.090,200,227111,1
1779109620483126329,609,1779109620526464844,30.993,200,220298,1
1779109620866550286,611,1779109620860454102,37.780,200,220990,1
1779109621209291363,613,1779109621194438721,36.897,200,218295,1
1779109621567471485,615,1779109621528412354,27.826,200,226520,1
1779109622011172034,618,1779109622029347900,33.646,200,227315,1
1779109622529031132,621,1779109622530279297,38.980,200,227116,1
1779109623000516875,624,1779109623031218262,37.432,200,231784,1
1779109623348618374,626,1779109623365166992,20.836,200,225797,1
1779109623900413005,627,1779109623866107910,40.140,200,251980,1
1779109624346189159,630,1779109624367029541,40.813,200,257048,1
1779109624689914155,632,1779109624701003906,39.125,200,256597,1
1779109625176308203,635,1779109625201950439,37.056,200,256248,1
1779109625519006435,637,1779109625535916504,40.219,200,256319,1
1779109626020966717,640,1779109626036861816,39.854,200,256048,1
1779109626395627719,642,1779109626370815186,40.299,200,256707,1
1779109626870005095,645,1779109626871942383,47.068,200,254859,1
1779109627357476334,648,1779109627373082520,43.387,200,257216,1
1779109627853330368,651,1779109627874058838,40.834,200,256094,1
1779109628192766918,653,1779109628208033691,39.570,200,255471,1
1779109628682762812,656,1779109628709008301,32.986,200,256175,1
1779109629181389642,659,1779109629209977539,50.315,200,256666,1
1779109629686272691,662,1779109629710981201,36.735,200,255951,1
1779109630029687056,664,1779109630044995850,26.297,200,254472,1
1779109630521991656,667,1779109630546003906,36.635,200,255657,1
1779109630862469080,669,1779109630879994629,36.993,200,255129,1
1779109631368383820,672,1779109631380968262,37.562,200,254957,1
1779109631848420024,675,1779109631881975098,16.550,200,256578,1
1779109632367866799,678,1779109632382969238,40.271,200,255947,1
1779109632702394666,680,1779109632716957275,40.271,200,260686,1
1779109633179910822,683,1779109633217926025,37.613,200,259594,1
1779109633530833815,685,1779109633552139160,39.096,200,261105,1
1779109634035638407,688,1779109634053898438,38.320,200,259886,1
1779109634373757625,690,1779109634388465820,41.032,200,260882,1
1779109634858151710,693,1779109634889671875,38.173,200,259667,1
1779109635209013812,695,1779109635223813477,39.064,200,260005,1
1779109635691141076,698,1779109635724956055,37.896,200,260362,1
1779109636038290621,700,1779109636059027832,42.504,200,259392,1
1779109636522196426,703,1779109636560137451,35.179,200,259132,1
1779109636877795673,705,1779109636894216064,41.729,200,258780,1
1779109637358166026,708,1779109637395334229,38.597,200,257487,1
1779109637716516149,710,1779109637729442383,43.562,200,259229,1
1779109638196350067,713,1779109638230606445,37.849,200,257921,1
1779109638545350114,715,1779109638564708496,36.983,200,258057,1
1779109639034436900,718,1779109639065850830,38.068,200,259034,1
1779109639376919342,720,1779109639399946533,37.781,200,257648,1
1779109639711567678,722,1779109639734394043,32.277,200,259873,1
1779109640054274390,724,1779109640068864746,44.925,200,258063,1
1779109640441682146,726,1779109640403355225,36.195,200,257361,1
1779109640883944382,729,1779109640904405273,36.576,200,257213,1
1779109641378095453,732,1779109641405446533,36.917,200,237925,1
1779109641888495710,735,1779109641906482422,34.324,200,194824,1
1779109642223956396,737,1779109642240501953,33.411,200,199439,1
1779109642697665026,740,1779109642741543213,32.277,200,209020,1
1779109643051723761,742,1779109643075572266,35.111,200,214157,1
1779109643548085209,745,1779109643576610352,38.116,200,254686,1
1779109643887334702,747,1779109643910629150,36.743,200,254096,1
1779109644231175015,749,1779109644244643555,35.662,200,253377,1
1779109644723897564,750,1779109644745686768,38.070,200,252703,1
1779109645069908899,752,1779109645079721191,37.625,200,250758,1
1779109645553174276,755,1779109645580760742,38.316,200,252177,1
1779109645893451812,757,1779109645914775146,37.834,200,253289,1
1779109646389956641,760,1779109646415787842,36.065,200,216956,1
1779109646907928913,763,1779109646916822754,33.782,200,178076,1
